,#EventID,Time,Latitude,Longitude,Depth/km,MagType,Magnitude,MagErr,Level
2093,2508,2019-12-06T00:17:23.780000Z,40.83017,14.14933,2.33,D,3.1,0.3,Bollettino
2826,7102,2022-03-16T14:14:34.800000Z,40.8283,14.1352,2.54,D,3.47,0.3,Bollettino
2963,14725,2022-03-29T17:45:32.360000Z,40.8293,14.1507,2.49,D,3.57,0.3,Bollettino
7245,25202,2023-05-08T02:28:34.260000Z,40.827702,14.1402,2.65,D,3.48,0.3,Bollettino
7931,26132,2023-06-11T06:44:25.720000Z,40.834301,14.1102,2.71,D,3.56,0.3,Bollettino
9023,28837,2023-08-18T04:09:59.430000Z,40.826801,14.148,2.55,D,3.2,0.3,Bollettino
9036,28848,2023-08-18T04:18:05.660000Z,40.831501,14.1375,2.63,D,3.64,0.3,Bollettino
9048,28850,2023-08-18T04:22:49.850000Z,40.8297,14.1387,2.37,D,3.12,0.3,Bollettino
9547,29728,2023-09-07T17:45:28.780000Z,40.831299,14.1465,2.49,D,3.79,0.3,Bollettino
9925,30137,2023-09-22T09:01:59.950000Z,40.8315,14.143167,2.1,D,3.2,0.3,Bollettino
10175,30421,2023-09-26T07:10:29.589000Z,40.805833,14.108,3.69,D,3.3,0.3,Bollettino
10221,30466,2023-09-27T01:35:34.349000Z,40.819167,14.159,2.83,D,4.2,0.3,Bollettino
10699,30898,2023-10-02T20:08:26.690000Z,40.830667,14.15,2.63,D,4.0,0.3,Bollettino
11043,31411,2023-10-16T10:36:21.119000Z,40.825,14.142167,2.07,D,3.6,0.3,Bollettino
13877,3022,2020-04-26T02:59:02.450000Z,40.82917,14.15,2.57,D,3.3,0.3,Bollettino
